"Д. в., нм",A
370,2.028
371,2.01
372,1.995
373,1.984
374,1.972
375,1.955
376,1.943
377,1.923
378,1.914
379,1.905
380,1.889
381,1.879
382,1.864
383,1.849
384,1.84
385,1.826
386,1.814
387,1.801
388,1.79
389,1.779
390,1.766
391,1.753
392,1.745
393,1.735
394,1.725
395,1.714
396,1.706
397,1.696
398,1.685
399,1.672
400,1.659
401,1.641
402,1.624
403,1.604
404,1.581
405,1.559
406,1.534
407,1.506
408,1.477
409,1.452
410,1.424
411,1.397
412,1.371
413,1.348
414,1.325
415,1.304
416,1.284
417,1.267
418,1.251
419,1.235
420,1.219
421,1.206
422,1.193
423,1.18
424,1.167
425,1.155
426,1.144
427,1.132
428,1.12
429,1.108
430,1.098
431,1.087
432,1.077
433,1.066
434,1.055
435,1.046
436,1.037
437,1.027
438,1.018
439,1.01
440,1.001
441,0.993
442,0.984
443,0.977
444,0.97
445,0.963
446,0.955
447,0.949
448,0.943
449,0.937
450,0.932
451,0.926
452,0.921
453,0.914
454,0.907
455,0.9
456,0.891
457,0.883
458,0.874
459,0.864
460,0.855
461,0.847
462,0.838
463,0.829
464,0.821
465,0.811
466,0.803
467,0.794
468,0.786
469,0.778
470,0.771
471,0.763
472,0.756
473,0.748
474,0.743
475,0.739
476,0.735
477,0.732
478,0.73
479,0.73
480,0.73
481,0.731
482,0.733
483,0.735
484,0.738
485,0.74
486,0.741
487,0.74
488,0.737
489,0.732
490,0.724
491,0.711
492,0.695
493,0.676
494,0.647
495,0.619
496,0.584
497,0.547
498,0.511
499,0.469
500,0.426
501,0.379
502,0.339
503,0.302
504,0.263
505,0.225
506,0.19
507,0.154
508,0.13
509,0.105
510,0.083
511,0.065
512,0.048
513,0.038
514,0.028
515,0.021
516,0.016
517,0.012
518,0.008
519,0.006
520,0.004
521,0.003
522,0.002
523,0.001
524,0
525,-0.001
526,-0.001
527,-0.001
528,-0.001
529,-0.002
530,-0.002
531,-0.002
532,-0.002
533,-0.002
534,-0.002
535,-0.002
536,-0.002
537,-0.002
538,-0.002
539,-0.002
540,-0.002
541,-0.002
542,-0.002
543,-0.002
544,-0.002
545,-0.002
546,-0.002
547,-0.002
548,-0.002
549,-0.002
550,-0.002
551,-0.002
552,-0.002
553,-0.002
554,-0.003
555,-0.003
556,-0.002
557,-0.002
558,-0.002
559,-0.003
560,-0.002
561,-0.002
562,-0.002
563,-0.003
564,-0.002
565,-0.002
566,-0.003
567,-0.002
568,-0.002
569,-0.002
570,-0.002
571,-0.002
572,-0.002
573,-0.002
574,-0.002
575,-0.002
576,-0.002
577,-0.002
578,-0.003
579,-0.003
580,-0.003
581,-0.003
582,-0.003
583,-0.003
584,-0.003
585,0.001
586,0.001
587,0.001
588,0.001
589,0.001
590,0.001
591,0.001
592,0.001
593,0.001
594,0.001
595,0.001
596,0.001
597,0.001
598,0.001
599,0.001
600,0.001
601,0.001
602,0.001
603,0.001
604,0.001
605,0.001
606,0.001
607,0.001
608,0.001
609,0.001
610,0.001
611,0.001
612,0.001
613,0.001
614,0.001
615,0.001
616,0.001
617,0.001
618,0.001
619,0.001
620,0.001
621,0.001
622,0.001
623,0.001
624,0.001
625,0.001
626,0.001
627,0.001
628,0.001
629,0.001
630,0.001
631,0.001
632,0.001
633,0.001
634,0.001
635,0.001
636,0.001
637,0.001
638,0.001
639,0.001
640,0.001
641,0.001
642,0.001
643,0.001
644,0.001
645,0.001
646,0.001
647,0.001
648,0.001
649,0.001
650,0.001
651,0.001
652,0.001
653,0.001
654,0.001
655,0.001
656,0.001
657,0.001
658,0.001
659,0.001
660,0.001
661,0.001
662,0.001
663,0.001
664,0.001
665,0.001
666,0.001
667,0.001
668,0.001
669,0.001
670,0.001
671,0.001
672,0.001
673,0.001
674,0.001
675,0.001
676,0.001
677,0.001
678,0.001
679,0.001
680,0.001
681,0.001
682,0.001
683,0.001
684,0.001
685,0.001
686,0.001
687,0.001
688,0.001
689,0.001
690,0.001
691,0.001
692,0.001
693,0.001
694,0.001
695,0.001
696,0.001
697,0.001
698,0.001
699,0.001
700,0.001
